KIC;Kpmag;QLen;DLen;numax;e_numax;Delnu;e_Delnu;A;e_A;Width;e_Width;Gran;e_Gran;Teff;e_Teff;logg;e_log(g);[Fe/H];e_[Fe/H];NoCorM;e_NoCorM;NoCorR;e_NoCorR;RGBcorM;e_RGBcorM;RGBcorR;e_RGBcorR;ClcorM;e_ClcorM;ClcorR;e_ClcorR;Phase;M17;Simbad;_RA;_DE
 1431316;13.150;18;1318.10; 37.40; 0.66; 4.316; 0.037;114.1;  5.5; 14.9; 1.1;   3513.2;   353.1;5092;153; 2.494; 0.011;-0.10; 0.30; 1.41; 0.12;11.13; 0.36; 1.41; 0.12;11.13; 0.36; 1.43; 0.12;11.23; 0.36;2;M17;Simbad;291.1912500;+37.0124819
 1432587;11.550;18;1318.10;  5.38; 0.30; 1.070; 0.013;453.1; 49.9;  2.6; 0.7; 342861.7; 32465.4;4443;100; 1.622; 0.025;-0.23; 0.15; 0.90; 0.16;24.32; 1.53; 0.76; 0.14;22.30; 1.39; 0.88; 0.16;24.05; 1.51;1;M17;Simbad;291.4577300;+37.0174711
 1432825;13.920;17;1308.70;177.11; 2.62;13.669; 0.024; 34.5;  2.6; 71.8;11.6;     18.8;     5.8;5293;168; 3.177; 0.010;-0.07; 0.30; 1.58; 0.12; 5.36; 0.14; 1.64; 0.12; 5.47; 0.14; 1.60; 0.12; 5.41; 0.14;1;M17;Simbad;291.5072900;+37.0385700
 1433132;13.620; 8; 632.70; 38.74; 0.64; 4.361; 0.018;117.3;  4.9; 15.3; 2.1;   1065.7;   300.5;4689;144; 2.491; 0.011; 0.37; 0.30; 1.33; 0.10;10.84; 0.30; 1.25; 0.10;10.51; 0.29; 1.33; 0.10;10.84; 0.30;1;M17;Simbad;291.5695200;+37.0023119
 1433593;11.520;18;1318.10; 69.14; 0.59; 6.241; 0.013; 36.5;  3.1; 21.2; 2.7;    393.6;    75.6;4956;100; 2.755; 0.007; 0.11; 0.15; 1.95; 0.11; 9.71; 0.19; 1.90; 0.10; 9.56; 0.19; 2.00; 0.11; 9.83; 0.19;1;M17;Simbad;291.6791100;+37.0722200
 1433730;10.890;18;1318.10; 40.37; 0.54; 4.085; 0.019; 65.8;  3.0; 15.6; 1.4;   1418.1;    81.1;4767;100; 2.513; 0.009;-0.06; 0.15; 2.00; 0.13;12.98; 0.31; 1.84; 0.12;12.45; 0.30; 2.02; 0.13;13.05; 0.31;1;M17;Simbad;291.7092000;+37.0515100
 1433803;10.190;18;1318.10;150.14; 1.04;12.178; 0.015; 44.5;  1.9; 41.3; 1.9;     51.1;     7.3;4760; 80; 3.083; 0.006; 0.28; 0.15; 1.30; 0.06; 5.43; 0.10; 1.24; 0.06; 5.29; 0.09; 1.31; 0.06; 5.44; 0.10;1;M17;Simbad;291.7257400;+37.0385281
 1434395;12.550; 7; 467.30; 24.41; 1.27; 3.667; 0.091;144.8;  6.6; 12.2; 8.0;   8037.7;   853.7;5072;164; 2.307; 0.024;-0.13; 0.30; 0.75; 0.15;10.05; 0.75; 0.79; 0.15;10.36; 0.78; 0.76; 0.15;10.14; 0.76;2;M17;Simbad;291.8564800;+37.0656511
 1435573;11.410;18;1318.10; 25.71; 0.64; 3.641; 0.083;160.0;  7.8; 10.9; 1.1;   9689.2;   615.4;4821;100; 2.319; 0.012; 0.10; 0.15; 0.83; 0.11;10.47; 0.57; 0.85; 0.11;10.59; 0.58; 0.84; 0.11;10.52; 0.58;2;M17;Simbad;292.1102600;+37.0936089
 1569823;10.640; 2;  41.90; 43.99; 4.33; 5.425; 0.405; 86.3; 23.8; 15.3; 4.5;   2475.2;   591.4;4679;163; 2.546; 0.044;-0.32; 0.30; 0.81; 0.34; 7.95; 1.43; 0.70; 0.29; 7.41; 1.30; 0.80; 0.34; 7.91; 1.42;2;M17;Simbad;290.6162700;+37.1877519
